timestamp,open,high,low,close,volume
12/4/2002,87.5,89.95,83.34,85.6,110897800
19/4/2002,86.5,90.03,84,89,51860900
26/4/2002,88.95,89.08,84.7,84.71,31976500
3/5/2002,84.71,85.23,81.11,81.78,42862500
10/5/2002,81.7,83,75.92,79.68,61363200
17/5/2002,80.25,86.49,79.5,85.69,37347700
24/5/2002,85.45,85.46,82.52,83.1,25012600
31/5/2002,82.8,83.11,80.22,80.45,21571900
7/6/2002,80.75,80.95,77,78.3,37678900
14/6/2002,77.75,78.8,73.25,76.17,45826900
21/6/2002,76.18,77.75,68.19,68.75,51132700
28/6/2002,67.25,73.62,66.1,72,56342200
5/7/2002,72.01,73.9,67.16,73.5,37781700
12/7/2002,73,73.48,67.55,69.21,50325700
19/7/2002,68.4,74.2,66.6,72,59368700
26/7/2002,71.25,72.19,65.7,66.4,64004300
2/8/2002,70.37,72.7,67.12,67.88,50523500
9/8/2002,67.94,74.3,65.85,71.83,38896400
16/8/2002,71.05,79.98,70.61,79.35,42544100
23/8/2002,79.35,82.85,79.01,80.4,37599000
30/8/2002,80.4,80.89,75.1,75.38,31535800
6/9/2002,74.2,75,71.5,73.2,24168200
13/9/2002,72.45,77.5,71.31,72.5,29374700
20/9/2002,72,73.45,63.9,63.92,59733100
27/9/2002,63.75,64.88,59.55,60.36,59368300
4/10/2002,59.55,62,55.77,56.6,60869200
11/10/2002,56.6,63.92,54.01,63.92,67066500
18/10/2002,61.54,74.25,61.54,74.25,72253200
25/10/2002,73.65,75.9,71.75,74.56,51727300
1/11/2002,75.15,80.5,74.2,80.4,56125400
8/11/2002,81.99,83.81,77.2,77.59,52109900
15/11/2002,77.59,80.99,76.7,80.01,49429400
22/11/2002,80.8,85.17,77.84,84.43,45101100
29/11/2002,84.63,88.11,83.52,86.92,28402500
6/12/2002,88.6,89.46,81.07,82.32,41270300
13/12/2002,81,82.48,78.27,80,37355200
20/12/2002,79.6,81.79,78.24,79.79,36539200
27/12/2002,79.75,81.5,76.61,77.36,20460800
3/1/2003,77,81.65,75.6,81.65,29764800
10/1/2003,81.9,88.04,81.81,87.68,50004000
17/1/2003,88.31,88.95,81.18,81.3,53450200
24/1/2003,81.3,81.85,78.82,78.99,34478700
31/1/2003,77.99,81.3,77.02,78.2,42173800
7/2/2003,78.2,78.9,76.25,77.1,37378500
14/2/2003,77.1,78.97,74.31,77.45,41674400
21/2/2003,78.02,80.05,77.91,79.95,26970500
28/2/2003,79.7,79.99,76.75,77.95,39649300
7/3/2003,78.9,79,75.71,77.9,32954000
14/3/2003,77.45,79.48,73.17,79,48104400
21/3/2003,78,84.9,77.84,84.9,58133300
28/3/2003,82.46,84,80.5,80.85,42576300
4/4/2003,79.26,83.48,78.12,80.79,46339300
11/4/2003,82.6,82.9,78.13,78.75,39935800
17/4/2003,78.5,84.4,78.16,84.26,42212300
25/4/2003,84.4,86.06,82.6,83.88,36064700
2/5/2003,84.05,87.57,83.62,87.57,39359000
9/5/2003,87.2,88.34,85.75,87.55,35257500
16/5/2003,87.55,90.4,87.1,88.99,38800700
23/5/2003,88.05,88.47,84.89,85.26,32835800
30/5/2003,84.51,88.7,84.51,88.04,26786400
6/6/2003,89,89.08,79.84,80.05,69955400
13/6/2003,80,84.98,79.81,82.75,41268000
20/6/2003,83.1,85.29,82.55,84.92,37484300
27/6/2003,84.79,84.79,82.09,83.42,27829700
3/7/2003,83.9,84.89,81.4,83.95,22755900
11/7/2003,84.8,86.75,83.47,84.89,32242400
18/7/2003,86,87.03,82.5,83.72,45286100
25/7/2003,83.2,83.74,81.51,83.55,33171000
1/8/2003,83.67,83.7,80.05,81.27,34886500
8/8/2003,80.75,81.36,78.73,80.88,30290600
15/8/2003,80.87,82.19,80.28,81.79,22220100
22/8/2003,82.05,84.72,81.9,82.97,30615500
29/8/2003,82.85,83.03,81.27,82.01,24293600
5/9/2003,82.4,88.29,82.3,86.95,41027800
12/9/2003,88.45,89.97,86.4,88.7,41601200
19/9/2003,89.7,93.47,88.39,93.28,42039300
26/9/2003,92.24,92.24,89,89.05,34494900
3/10/2003,89.25,91.95,87.9,90.64,35612700
10/10/2003,90.74,93.6,90.4,92.67,27727600
17/10/2003,93.1,94.54,88.66,89.23,47597600
24/10/2003,89.35,89.4,87.53,88.42,29376600
31/10/2003,88.8,90.71,88.05,89.48,28610800
7/11/2003,89.9,90.84,87.72,88.26,28479700
14/11/2003,89.55,91.48,88.89,90.25,28880700
21/11/2003,89.9,90.18,88.23,88.63,25235500
28/11/2003,89.03,90.68,88.95,90.54,15370200
5/12/2003,90.9,91.48,90.03,90.64,27735300
12/12/2003,90.52,93.16,90.52,92.71,30943400
19/12/2003,93.43,94.12,91.88,93.14,33482600
26/12/2003,92.83,93.5,92.18,92.9,11178100
2/1/2004,93.1,93.73,91.2,91.55,18092000
9/1/2004,92,93.38,91,91.21,28694600
16/1/2004,91.21,95.65,89.01,95.32,48592000
23/1/2004,96,98.21,95.73,97.9,25889600
30/1/2004,97.9,99.85,96.55,99.23,30864500
6/2/2004,99.15,100.43,98.25,98.94,31683700
13/2/2004,99.31,100.31,98.41,99.71,20479500
20/2/2004,99.99,100,97.19,97.31,19898100
27/2/2004,97.4,97.51,95.2,96.5,25680600
5/3/2004,96.5,97.6,95.56,96.45,21755500
12/3/2004,96.49,96.88,91.15,93.3,32862500
19/3/2004,92.6,93.79,90.88,91.62,27477500
26/3/2004,91.27,93.25,90.28,92.77,27482700
2/4/2004,92.99,94.55,91.35,94.2,25046900
8/4/2004,93.95,94.39,92.51,93.12,16201400
16/4/2004,93.5,94.36,91.04,92.28,31404700
23/4/2004,91.9,92.48,89.7,91.28,26094200
30/4/2004,90.75,91.99,88.01,88.17,26790300
7/5/2004,88.13,89.75,87.2012,88.19,25650700
14/5/2004,87.6,88.15,85.12,86.41,31619400
21/5/2004,85.3,88.88,85.15,87.13,26694400
28/5/2004,87.75,89.08,86.55,88.59,20742800
4/6/2004,88.09,88.64,87.3,87.56,15611800
10/6/2004,88.75,90.75,88.01,90.46,18366900
18/6/2004,90.05,91.21,89.62,90.06,22426400
25/6/2004,90.4,90.92,88.94,89.55,22021500
2/7/2004,89.71,89.9,86.57,87.04,21510400
9/7/2004,86.5,86.73,83.51,83.89,26209600
16/7/2004,84,86.48,83.42,84.28,35836700
23/7/2004,84.5,87.11,84.4,84.85,28063300
30/7/2004,84.85,87.4,84.51,87.07,22923000
6/8/2004,86.87,87.39,83.42,83.48,20815300
13/8/2004,83.48,84.99,81.9,83.91,26196900
20/8/2004,83.7,85.35,83.51,85.25,21524300
27/8/2004,85.23,85.45,84.35,84.94,16955800
3/9/2004,84.57,85.09,83.65,84.39,17286100
10/9/2004,84.7,87,84.6,86.76,17994900
17/9/2004,87,87.28,85.44,85.74,23207800
24/9/2004,85.4,86.43,83.24,84.43,23167900
1/10/2004,84.1,86.98,83.88,86.72,22465000
8/10/2004,87,88.1,86.51,86.71,21303400
15/10/2004,86.77,87.2,84.3,84.85,24456500
22/10/2004,84.3,89.73,84.29,87.39,39927800
29/10/2004,87.36,90.27,87.31,89.75,27890400
5/11/2004,89.33,93.52,89.23,93.28,30762600
12/11/2004,92.5,95.5,92.5,95.32,28090600
19/11/2004,95.08,96.63,94.25,94.45,27259900
26/11/2004,94.3,95.79,94.16,94.72,17298900
3/12/2004,94.94,97.63,94.24,97.08,29413700
10/12/2004,96.88,98.25,95.71,96.67,26952800
17/12/2004,96.85,98.15,96.08,96.2,27720400
23/12/2004,96.35,98,96.35,97.72,18152400
31/12/2004,97.69,99,97.37,98.58,17501200
7/1/2005,98.97,99.1,95.47,95.78,27415300
14/1/2005,95.78,96.2,93.55,94.1,26060300
21/1/2005,93.65,95.34,92.23,92.38,28556000
28/1/2005,92.7,93.59,91.44,92.89,27667500
4/2/2005,93.65,94.74,93,94.51,19731000
11/2/2005,94.35,94.9,92.3,93.3,21103700
18/2/2005,93.16,94.97,92.55,93.27,20002800
25/2/2005,92.67,93.5,91.55,92.8,18680300
4/3/2005,92.53,93.73,92.2,92.37,22028900
11/3/2005,92.35,93,91.2,91.51,24562700
18/3/2005,91.5,92.27,89.09,89.28,25767500
24/3/2005,89.42,91.55,89.26,90.7,18904100
1/4/2005,90.71,91.76,90.04,90.44,25553000
8/4/2005,90.08,90.62,87.5,87.6,27677900
15/4/2005,87.35,87.56,76.33,76.7,62144400
22/4/2005,77.15,77.75,71.85,74.21,70090000
29/4/2005,75.24,77.18,74.05,76.38,51112000
6/5/2005,76.88,78.11,74.97,75.26,39063200
13/5/2005,75.26,75.46,72.5,73.16,33727100
20/5/2005,73.09,77.64,73.09,76.41,34306900
27/5/2005,76.3,77.41,75.17,77.1,24899800
3/6/2005,76.6,77.5,75.5,75.79,23975100
10/6/2005,75.8,76.09,74.1,74.77,24804200
17/6/2005,74.5,77.73,74.45,76.39,33568000
24/6/2005,76.03,77.49,74,74.01,33289800
1/7/2005,74.01,75.68,73.45,74.67,30677800
8/7/2005,74.38,79.52,74.16,79.3,37388800
15/7/2005,79.4,82.75,78.52,82.38,45662500
22/7/2005,81.99,85.11,81.68,84.44,45014200
29/7/2005,83.98,84.52,82.81,83.46,24382900
5/8/2005,83,84.2,82.73,83.36,22265700
12/8/2005,83.41,84.01,81.62,82.19,22568800
19/8/2005,81.9,83.3,80.8,82.76,22885800
26/8/2005,82.75,83.35,80.26,80.38,22210500
2/9/2005,80,81.75,79.34,79.46,25171500
9/9/2005,79.7,81.52,79.7,81.44,18681300
16/9/2005,81.03,82.11,79.67,80.33,25110400
23/9/2005,79.74,79.98,77.3,78,31701800
30/9/2005,78.31,80.55,76.93,80.22,30116700
7/10/2005,80.22,81.47,78.7,80.5,30921800
14/10/2005,81.24,83.52,81.08,82.35,36349300
21/10/2005,82.36,84.6,81.93,83.33,39286100
28/10/2005,83.15,83.95,80.5,81.42,25793400
4/11/2005,81.51,83.3,80.64,83,31154000
11/11/2005,83.1,84.84,82.3,84.55,21762600
18/11/2005,84.25,88,84.03,87.77,30719600
25/11/2005,87.6,89.39,86.88,88.8,18193100
2/12/2005,88.8,89.94,88.36,88.65,25765400
